latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
36.7605,38.4222,345.5,1,1,2002-07-08,1040,Aqua,MODIS,87,6.03,325.3,22.9,D,0
37.1648,42.2418,338.9,1.5,1.2,2002-07-08,1040,Aqua,MODIS,69,6.03,320.7,28.3,D,0
36.8166,40.3746,304.7,3.5,1.8,2002-07-08,2008,Terra,MODIS,60,6.03,292.2,36.6,N,0
36.8072,40.3807,303,3.5,1.8,2002-07-08,2008,Terra,MODIS,52,6.03,292,28.1,N,0
37.107,42.0063,356.7,1,1,2002-07-09,0810,Terra,MODIS,97,6.03,323.2,48.1,D,0
35.2905,36.5439,327.7,1.4,1.2,2002-07-09,0810,Terra,MODIS,59,6.03,313.8,12.4,D,0
35.717,36.8116,336.7,1.3,1.1,2002-07-09,0810,Terra,MODIS,77,6.03,321.2,17.1,D,0
35.9794,40.0449,339.1,1,1,2002-07-09,0810,Terra,MODIS,78,6.03,317.3,20.3,D,0
36.4598,37.3303,327.9,1.3,1.1,2002-07-09,0810,Terra,MODIS,60,6.03,311.9,11.9,D,0
36.815,38.5217,332.9,1.1,1.1,2002-07-09,0810,Terra,MODIS,66,6.03,317.3,9.6,D,0
37.0807,42.0579,352.2,1,1,2002-07-09,0810,Terra,MODIS,94,6.03,325.3,37.6,D,0
37.1086,41.9952,353.1,1,1,2002-07-09,0810,Terra,MODIS,94,6.03,323.2,38.9,D,0
37.1198,41.9994,338.3,2.5,1.5,2002-07-09,0945,Aqua,MODIS,81,6.03,320,60.8,D,0
35.1103,40.5613,312.3,1.2,1.1,2002-07-09,1913,Terra,MODIS,80,6.03,299.8,10.3,N,2
36.983,41.4629,309.9,1.1,1,2002-07-09,1913,Terra,MODIS,75,6.03,294.4,9.2,N,0
37.2315,42.2264,330,1,1,2002-07-09,1913,Terra,MODIS,100,6.03,300.3,26.1,N,0
37.2298,42.2151,314.6,1,1,2002-07-09,1913,Terra,MODIS,89,6.03,298.7,9.8,N,0
36.6516,37.2306,305.4,1.7,1.3,2002-07-09,1913,Terra,MODIS,63,6.03,293.7,12.3,N,0
36.6551,37.2487,320.6,1.7,1.3,2002-07-09,1913,Terra,MODIS,100,6.03,294.2,37.7,N,0
37.0143,40.4652,309.8,1.1,1.1,2002-07-09,1913,Terra,MODIS,74,6.03,296.1,9.4,N,0
36.9627,40.4196,308.1,1.1,1.1,2002-07-09,1913,Terra,MODIS,69,6.03,294.4,8.5,N,2
36.9648,40.4322,321.6,1.1,1.1,2002-07-09,1913,Terra,MODIS,100,6.03,295.8,22.1,N,2
37.2387,42.213,317.3,1,1,2002-07-09,1913,Terra,MODIS,95,6.03,298.2,12.4,N,0
36.9967,40.6829,306.6,1.1,1.1,2002-07-09,1913,Terra,MODIS,61,6.03,296.4,6.4,N,0
36.8413,40.2882,303.1,1.1,1,2002-07-09,2325,Aqua,MODIS,51,6.03,291.9,5.3,N,0
36.8406,40.3923,326.4,1.1,1,2002-07-09,2325,Aqua,MODIS,100,6.03,293,27.6,N,0
36.8425,40.3806,305.5,1.1,1,2002-07-09,2325,Aqua,MODIS,64,6.03,291.2,7.8,N,0
36.8244,40.5479,305.3,1.1,1,2002-07-09,2325,Aqua,MODIS,64,6.03,293.2,7,N,0
37.2382,42.2203,314,1.2,1.1,2002-07-09,2325,Aqua,MODIS,88,6.03,294.7,15.5,N,0
35.1168,40.5657,316.8,1.1,1.1,2002-07-09,2325,Aqua,MODIS,94,6.03,297.9,15.6,N,2
36.8117,40.004,308.6,1,1,2002-07-09,2325,Aqua,MODIS,75,6.03,291.1,9.4,N,0
36.7977,40.2652,325.2,1.1,1,2002-07-09,2325,Aqua,MODIS,100,6.03,292.5,25.3,N,0
36.8284,40.3093,326,1.1,1,2002-07-09,2325,Aqua,MODIS,100,6.03,293.5,26.1,N,0
36.8303,40.2976,333,1.1,1,2002-07-09,2325,Aqua,MODIS,100,6.03,292.9,35.3,N,0
36.8375,40.3115,321.3,1.1,1,2002-07-09,2325,Aqua,MODIS,100,6.03,294.9,20.6,N,0
36.8394,40.2998,351.7,1.1,1,2002-07-09,2325,Aqua,MODIS,100,6.03,296.3,72,N,0
36.8449,40.3081,311.7,1.1,1,2002-07-09,2325,Aqua,MODIS,83,6.03,293.3,11.4,N,0
37.093,42.035,342.9,3.5,1.8,2002-07-10,0852,Terra,MODIS,87,6.03,318.5,163.1,D,0
36.0418,36.7368,335.1,1.8,1.3,2002-07-10,0853,Terra,MODIS,78,6.03,311.8,41.1,D,0
36.6191,37.1209,330.9,1.8,1.3,2002-07-10,0853,Terra,MODIS,75,6.03,310.2,31.8,D,0
36.6231,37.1012,360.6,1.8,1.3,2002-07-10,0853,Terra,MODIS,100,6.03,312.4,168.3,D,0
36.6817,39.3911,337.5,1,1,2002-07-10,1028,Aqua,MODIS,75,6.03,320.3,14.8,D,0
37.0978,42.0362,343,1.1,1,2002-07-10,1028,Aqua,MODIS,84,6.03,328.4,19.3,D,0
36.4956,37.1983,335.4,1.2,1.1,2002-07-10,1028,Aqua,MODIS,75,6.03,317.5,19.1,D,2
36.5051,37.1958,342.3,1.2,1.1,2002-07-10,1028,Aqua,MODIS,85,6.03,316.9,32,D,0
36.4879,37.0362,333,1.2,1.1,2002-07-10,1028,Aqua,MODIS,70,6.03,315.7,16.4,D,0
36.5997,37.5516,338.2,1.1,1.1,2002-07-10,1028,Aqua,MODIS,80,6.03,318.5,20.9,D,0
36.4856,37.023,333.7,1.2,1.1,2002-07-10,1028,Aqua,MODIS,72,6.03,315.3,17.6,D,0
36.5976,37.539,333.6,1.2,1.1,2002-07-10,1028,Aqua,MODIS,72,6.03,317.7,12.8,D,0
35.9835,39.2389,333.2,1,1,2002-07-10,1028,Aqua,MODIS,47,6.03,318.6,12.5,D,0
36.1196,37.3491,329.1,1.2,1.1,2002-07-10,1028,Aqua,MODIS,49,6.03,314,15.4,D,2
36.56,37.2714,305.6,1.4,1.2,2002-07-10,1956,Terra,MODIS,65,6.03,290.9,11.6,N,0
36.9708,40.453,306.4,2.2,1.4,2002-07-10,1956,Terra,MODIS,68,6.03,290.8,24.6,N,0
36.9577,40.4546,301.5,2.2,1.4,2002-07-10,1956,Terra,MODIS,42,6.03,291.1,14.8,N,0
36.9599,40.461,309.8,2.2,1.4,2002-07-10,1956,Terra,MODIS,78,6.03,291.1,30.4,N,0
36.6401,37.2685,302.2,1.4,1.2,2002-07-10,1956,Terra,MODIS,48,6.03,291.3,8.4,N,0
36.5595,36.9068,316.5,1.4,1.2,2002-07-10,1956,Terra,MODIS,93,6.03,294.5,21.9,N,2
36.5793,37.1987,308.4,1.4,1.2,2002-07-10,1956,Terra,MODIS,74,6.03,291.6,14.5,N,0
36.5809,37.2144,306.2,1.4,1.2,2002-07-10,1956,Terra,MODIS,67,6.03,290.7,12.3,N,0
